OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
245957,5,5,15,0,2019,8,19,5,3,4,6,0,1,0,0,0,0,0,0,"406609,356584896330000","5759681,744031120100000","7,640199300000063","51,979953802000068"
246090,5,5,15,0,2019,8,16,3,3,3,6,0,1,0,0,0,0,0,0,"406362,589759394530000","5757343,574011487900000","7,637245126000039","51,958895724000058"
246092,5,5,15,0,2019,8,18,3,3,1,1,0,1,1,0,0,0,0,0,"407380,883976236920000","5760895,036701714600000","7,651101997000069","51,990988615000049"
246094,5,5,15,0,2019,8,8,3,3,3,2,0,1,0,0,0,0,0,1,"406565,316375379450000","5758334,498546006200000","7,639925018000042","51,967836732000080"
246187,5,5,15,0,2019,8,13,3,3,1,6,0,1,0,0,0,1,0,0,"405269,566804376430000","5758836,076545298100000","7,620930994000048","51,972125799000082"
246343,5,5,15,0,2019,8,19,7,3,0,7,0,1,0,0,0,0,0,0,"406986,799995218400000","5754946,830095632000000","7,646975397000063","51,937457294000069"
246403,5,5,15,0,2019,8,19,6,3,1,1,0,1,1,0,0,0,0,0,"402052,354151618670000","5753019,594558427100000","7,575767954000071","51,919288075000054"
246404,5,5,15,0,2019,8,16,6,3,5,5,0,1,1,0,0,0,0,0,"406263,405884018170000","5751993,163393368900000","7,637260036000043","51,910786790000031"
246406,5,5,15,0,2019,8,20,6,2,5,3,0,1,0,0,0,0,0,1,"406113,489298013970000","5757492,658656243200000","7,633580199000051","51,960193760000038"
246570,5,5,15,0,2019,8,11,5,2,8,1,0,1,0,0,0,0,0,0,"400518,361156403090000","5756313,913224251900000","7,552517540000054","51,948626089000072"
246642,5,5,15,0,2019,8,10,4,3,5,3,0,1,0,0,0,0,0,0,"403741,242193545210000","5755467,216614913200000","7,599632932000077","51,941582754000081"
246715,5,5,15,0,2019,8,15,5,3,6,4,0,1,0,1,0,0,0,0,"403536,499949340710000","5762052,810101321000000","7,594804696000040","52,000740583000038"
