OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
105336;;5;5;15;0;2019;4;13;2;3;3;6;0;1;0;0;0;0;0;404510,9114;5756302,05;7,610594586;51,94921919;0
105475;;5;5;15;0;2019;4;18;4;2;5;2;0;1;0;0;0;0;1;406505,3784;5757242,435;7,639350097;51,95801067;0
106173;;5;5;15;0;2019;4;19;4;3;0;4;0;1;0;1;0;0;0;404335,4435;5759047,108;7,607277695;51,97386261;0
106176;;5;5;15;0;2019;4;14;4;3;0;4;0;1;0;1;0;0;0;405151,4025;5757194,547;7,619664715;51,95735092;0
106200;;5;5;15;0;2019;4;19;7;2;6;4;0;1;0;1;0;0;0;405849,6461;5756856,063;7,629915883;51,95442714;0
106473;;5;5;15;0;2019;4;14;5;3;2;3;0;1;1;0;0;0;0;405946,016;5756806,165;7,631331492;51,95399494;0
106476;;5;5;15;0;2019;4;17;5;3;0;1;0;1;0;0;0;0;0;406302,0793;5757680,31;7,636272898;51,96191227;0
106478;;5;5;15;0;2019;4;14;5;3;1;5;0;1;1;0;0;0;0;406553,3797;5758759,49;7,639635632;51,97165475;0
106614;;5;5;15;0;2019;4;8;3;3;5;3;0;1;1;0;0;0;0;401648,18;5755592,414;7,569157521;51,942342;0
106625;;5;5;15;0;2019;5;23;6;2;0;7;2;1;0;0;0;0;0;406352,9508;5757350,156;7,637103093;51,95895326;1
106627;;5;5;15;0;2019;5;16;6;3;3;6;0;1;0;0;0;0;0;406029,683;5756779,374;7,632555962;51,95376827;0
106630;;5;5;15;0;2019;5;7;6;2;0;1;0;1;0;0;0;0;0;404038,9075;5753657,749;7,604466685;51,92536997;0
106815;;5;5;15;0;2019;5;18;5;3;3;6;0;1;1;0;0;0;0;406010,5244;5758954,663;7,631681913;51,97331751;1
106877;;5;5;15;0;2019;4;13;2;3;6;6;0;1;0;1;0;0;0;406273,1748;5757401,133;7,635928515;51,95939803;0
106880;;5;5;15;0;2019;4;7;2;3;1;5;0;1;0;0;0;0;0;404589,7865;5755718,56;7,611903832;51,94398809;0
106959;;5;5;15;0;2019;5;7;7;3;5;3;0;1;1;0;0;0;0;404642,2434;5755256,086;7,612795023;51,93984018;0
107095;;5;5;15;0;2019;5;15;3;3;5;2;0;1;1;0;0;0;0;405403,3262;5756012,366;7,623655241;51,94676788;0
107096;;5;5;15;0;2019;5;14;3;3;5;3;0;1;0;0;0;0;0;401181,337;5759373,322;7,561280439;51,97624279;0
107097;;5;5;15;0;2019;5;8;3;3;5;2;0;1;1;0;0;0;0;404062,3879;5756226,474;7,604091567;51,94846271;0
107204;;5;5;15;0;2019;5;16;2;3;4;7;0;1;0;0;0;0;0;404961,8929;5758232,464;7,616620438;51,96664777;0
107206;;5;5;15;0;2019;5;9;2;3;5;3;0;1;1;0;0;0;0;407095,2572;5760302,452;7,647103942;51,98561448;0
107461;;5;5;15;0;2019;5;18;5;3;5;3;0;1;1;0;0;0;0;405509,892;5751883,525;7,626338932;51,90967398;0
107591;;5;5;15;0;2019;5;9;4;3;5;2;0;1;1;0;0;0;0;405774,0006;5758000,243;7,628501566;51,96469872;0
107592;;5;5;15;0;2019;5;18;4;3;0;3;0;1;1;0;0;0;0;406625,066;5757653,318;7,640979717;51,96172399;0
107596;;5;5;15;0;2019;5;17;4;3;5;3;1;1;1;0;1;0;0;407255,1826;5756889,387;7,650354198;51,95496285;1
107597;;5;5;15;0;2019;5;15;4;3;3;6;0;1;1;0;0;0;0;405478,057;5754988,227;7,625023733;51,93757515;1
107694;;5;5;15;0;2019;5;18;2;3;3;6;0;1;0;0;0;0;0;404826,6811;5758354,776;7,614619007;51,96772402;0
107695;;5;5;15;0;2019;5;18;2;2;0;1;0;1;0;0;0;0;0;403999,3974;5758107,933;7,602649601;51,96536306;0
107696;;5;5;15;0;2019;5;9;2;3;1;1;0;1;1;0;0;0;0;406813,8051;5757689,307;7,643716112;51,96207915;0
107757;;5;5;15;0;2019;5;16;3;3;5;3;0;1;1;0;0;0;0;405194,1396;5750111,041;7,622237631;51,89368835;0
107936;;5;5;15;0;2019;5;13;7;3;3;6;0;1;0;0;0;0;0;404248,749;5754425,218;7,607303823;51,93230443;0
107938;;5;5;15;0;2019;5;17;7;3;3;6;0;1;0;0;0;0;0;406314,7688;5757374,925;7,636540824;51,95916946;0
108072;;5;5;15;0;2019;5;14;4;3;3;6;0;1;0;0;0;0;0;405723,7035;5753793,981;7,628923202;51,92688237;0
108208;;5;5;15;0;2019;5;18;7;3;5;3;0;1;1;0;0;0;0;404286,9676;5748389,217;7,609536078;51,87805671;0
108210;;5;5;15;0;2019;5;14;7;3;0;7;0;1;1;0;0;0;0;407027,4545;5760008,995;7,646196426;51,98296541;0
108256;;5;5;15;0;2019;5;14;5;3;5;3;0;1;1;0;0;0;0;411139,6449;5758907,077;7,706343856;51,97373358;0
108292;;5;5;15;0;2019;5;8;3;3;3;6;0;1;0;0;0;0;0;406108,8372;5758994,277;7,633101895;51,97369019;1
108409;;5;5;15;0;2019;5;11;2;2;3;2;0;1;1;0;0;0;0;405409,101;5755469,404;7,623888619;51,94188847;0
108411;;5;5;15;0;2019;5;18;2;3;3;2;0;1;0;0;0;0;1;405948,4931;5756805,316;7,631367761;51,95398773;0
108412;;5;5;15;0;2019;5;12;2;2;4;6;0;1;0;0;0;0;0;404927,992;5758241,934;7,616124508;51,9667271;0
